Name,Image,VFX,VFX Type,DIY,Buy,Sell,Color 1,Color 2,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Window Type,Window Color,Pane Type,Curtain Type,Curtain Color,Ceiling Type,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Version Added,Unlocked?,Filename,Internal ID,Unique Entry ID,Internal ID as hex
woodland wall,,No,,Yes,NFS,1380,Green,Green,,,Crafting,,,,,,,,,Stone,103,horror,nature,,Nature Walls,Not for sale,1.0.0,Yes,RoomTexWallJukai00,5223,2B4YTYqnm64vgANY4,1467
yellow flower-print wall,,No,,No,1780,445,Yellow,Yellow,1600.0,Poki,Nook's Cranny,,,,Four Pane,Dark Wood,Glass,Curtains,Yellow,Wood,151,fancy,living room,,Flower Walls,For sale,1.0.0,Yes,RoomTexWallFlower02,6872,esknqzcAenk8uqzYk,1AD8
yellow heart-pattern wall,,No,,No,1280,320,Yellow,Yellow,1200.0,Poki,Nook's Cranny,,,,Four Pane,White Wood,Glass,Roller Shades,White,Cloth,151,fancy,child's room,,Heart Walls,For sale,1.0.0,Yes,RoomTexWallHeart02,6871,BqWMEqc2tL8CnPAmd,1AD7
yellow intricate wall,,No,,No,1570,392,Yellow,White,1400.0,Poki,Nook's Cranny,,,,Four Pane,Grey Wood,Glass,Roller Shades,White,Wood,151,living room,shop,,Flower Pop Walls,For sale,1.0.0,Yes,RoomTexWallFlowerPop01,4849,FrZas8MjMdjDTPvkX,12F1
yellow playroom wall,,No,,No,2540,635,Yellow,Yellow,2300.0,Poki,Nook's Cranny,,,,Sliding Pane,White Metal,Glass,,,Cloth,151,child's room,fancy,kids,Toy Walls,For sale,1.0.0,Yes,RoomTexWallToy03,6865,mraytANoYBQvA8qAk,1AD1
yellow quilt wall,,No,,No,2150,537,Yellow,White,1900.0,Poki,Nook's Cranny,,,,Four Pane,White Wood,Glass,Curtains,White Lace,Cloth,151,fancy,child's room,,Dollhouse Walls,For sale,1.0.0,Yes,RoomTexWallDollhouse02,7276,ysEdh2vpCpg5qBcNg,1C6C
yellow simple-cloth wall,,No,,No,750,187,Beige,Yellow,680.0,Poki,Nook's Cranny,,,,Four Pane,White Wood,Glass,Curtains,White,Wood,151,child's room,living room,simple,Simple Walls,For sale,1.0.0,Yes,RoomTexWallSimple01,4867,7sSXFNqcYgPMcGY8k,1303
yellow-paint wall,,No,,No,1600,400,Yellow,Yellow,1400.0,Poki,Nook's Cranny,,,,Four Pane,Natural Wood,Glass,,,Stone,151,fancy,child's room,,Stucco Walls,For sale,1.0.0,Yes,RoomTexWallStucco00,4808,TySAA4kKqyvGGeZ5C,12C8
yellow-striped wall,,No,,No,1520,380,Yellow,Beige,1400.0,Poki,Nook's Cranny,,,,Four Pane,White Wood,Glass,Roller Shades,White,Cloth,151,fancy,child's room,,Stripe Walls,For sale,1.0.0,Yes,RoomTexWallStripe04,4946,N6sef3YhY973LDgdR,1352
zen architecture wall,,No,,No,1880,470,Beige,Beige,1700.0,Poki,Nook's Cranny,,,,Four Pane,Light Wood,Glass,,,Wood,151,,,,Japanese Style,For sale,2.0.0,Yes,RoomTexWallTwotone00,13333,puwFr4WzMEfameWnz,3415
